idx,maximum_speed,speed_limit,average_speed,vehicle_class_1,vehicle_class_2,vehicle_class_3,vehicle_class_4,vehicle_class_5,vehicle_class_6,vehicle_class_7,vehicle_class_8,vehicle_class_9,vehicle_class_10,vehicle_class_11,vehicle_class_12,vehicle_class_13,bike,motorcycle,StrType
47571,20,20,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
11731,66,50,50,195,1,7,4,0,0,0,0,0,0,0,0,0,15,0,Arterial
15796,15,40,12,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Council Minor
8537,55,50,29,27,0,0,0,0,0,0,0,0,0,0,0,0,1,5,Council Minor
14719,18,40,14,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,Council Minor
21050,72,60,48,817,3,26,6,0,0,0,0,1,0,0,0,0,7,10,Arterial
22735,77,60,47,283,0,40,16,3,0,0,1,1,0,0,0,0,2,5,Arterial
13530,21,40,14,32,0,0,0,0,0,0,0,0,0,0,0,0,19,0,Council Minor
40643,79,50,55,577,3,24,2,1,0,0,0,0,0,0,0,0,21,3,Arterial
38486,38,50,18,308,1,30,3,2,0,0,0,0,0,0,0,0,1,13,Arterial
8662,37,50,32,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Council Minor
11845,67,50,44,469,1,5,2,0,2,0,0,0,0,0,0,5,21,6,Arterial
14727,21,40,12,4,0,0,1,0,0,0,0,1,0,0,0,0,3,1,Council Minor
14006,22,40,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
47600,23,20,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
10612,47,50,31,13,0,2,0,1,0,0,0,0,0,0,0,0,0,0,Council Minor
8566,42,50,24,8,0,1,0,0,0,0,0,0,0,0,0,0,2,1,Council Minor
10387,48,50,29,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
13781,20,40,15,11,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Council Minor
10185,55,50,37,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
14211,10,40,7,20,0,2,0,0,0,0,0,0,0,0,0,0,20,0,Council Minor
13203,26,40,13,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Council Minor
8446,46,50,22,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Council Minor
20960,69,60,52,314,1,4,5,2,0,1,0,2,1,0,0,0,20,4,Arterial
11737,72,50,42,566,1,13,3,0,2,0,0,0,0,0,0,2,7,5,Arterial
22688,74,60,50,264,0,27,5,7,0,0,2,2,0,0,0,0,2,3,Arterial
14070,17,40,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
33949,37,50,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Council Minor
11959,65,50,27,745,0,40,0,1,1,0,1,0,0,0,0,0,17,12,Arterial
38457,52,50,32,1299,42,52,29,7,2,13,1,3,1,4,0,0,39,20,Arterial
40671,73,50,55,290,2,9,3,0,0,0,0,1,0,0,0,0,27,6,Arterial
15913,31,40,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Council Minor
15889,33,40,22,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Council Minor
13542,20,40,17,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Council Minor
33800,19,50,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
13828,12,40,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
38600,68,50,39,818,11,55,26,9,0,3,2,4,1,0,0,0,34,13,Arterial
38550,52,50,34,190,1,5,8,0,0,0,0,2,0,0,0,0,4,10,Arterial
38557,61,50,38,765,3,24,7,2,0,1,0,0,0,0,0,0,14,6,Arterial
38666,22,25,17,17,0,0,0,0,0,0,0,0,0,0,0,0,2,1,Council Minor
22545,66,60,46,297,0,22,4,2,0,1,0,0,0,0,0,0,2,2,Arterial
13704,22,40,16,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Council Minor
40571,90,50,55,530,0,25,3,0,0,0,0,0,0,0,0,0,24,4,Arterial
8468,32,50,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
11727,75,50,47,427,0,7,4,0,0,1,0,0,0,0,0,2,21,3,Arterial
40612,74,50,52,602,2,51,22,3,0,2,2,0,0,0,0,0,38,28,Arterial
40600,91,50,57,201,0,11,1,0,0,0,0,0,0,0,0,0,3,0,Arterial
13217,29,40,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
22541,63,60,30,730,1,25,3,1,1,0,0,3,0,0,0,0,2,6,Arterial
8510,34,50,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
38584,60,50,37,838,4,13,0,4,0,0,0,0,0,0,0,0,3,4,Arterial
15882,28,40,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
20854,69,60,42,906,3,29,1,0,0,1,0,0,0,0,0,0,1,12,Arterial
11678,74,50,48,267,1,6,3,1,0,0,0,1,0,0,0,1,15,3,Arterial
8476,33,50,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
47590,15,20,10,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
13826,23,40,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
22716,69,60,48,617,0,45,0,4,1,1,0,4,0,0,0,0,3,6,Arterial
13424,24,40,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
38543,57,50,36,621,0,8,13,0,0,0,0,0,0,0,0,0,15,22,Arterial
11854,67,50,30,1288,9,59,5,5,7,2,0,2,2,0,0,3,61,38,Arterial
14495,10,40,10,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,Council Minor
20943,72,60,47,644,1,53,9,4,0,0,0,2,3,0,0,0,4,5,Arterial
38560,66,50,35,855,2,27,2,2,1,0,0,0,0,0,0,0,4,9,Arterial
40504,83,50,53,413,0,4,2,0,0,1,0,0,0,0,0,0,8,1,Arterial
13541,20,40,17,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Council Minor
38413,53,50,33,1160,7,14,2,1,0,0,1,0,0,0,0,0,1,9,Arterial
8543,42,50,26,13,0,0,0,0,0,0,0,0,0,0,0,0,2,3,Council Minor
22506,59,60,48,130,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Arterial
40390,71,50,57,41,0,2,3,1,0,0,0,0,0,0,0,0,1,0,Arterial
14638,17,40,10,7,0,0,1,0,0,0,0,0,0,0,0,0,7,0,Council Minor
38328,56,50,34,815,2,5,2,0,0,0,0,0,0,0,0,0,3,7,Arterial
38591,59,50,37,565,0,8,1,2,0,0,0,0,0,0,0,0,1,4,Arterial
